Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
443,2676,1454,382.2857143,2760,1454,460,716.5714286,5016,418.1538462,326.5714286,404,2676,2760,64240
443,2288,1454,286,5022,1454,558,524,4192,430,230.5,502.6666667,2288,5022,64240
443,2397,1454,399.5,2169,1429,433.8,751,4506,415.0909091,343.5,377.4,2397,2169,64240
443,6639,1454,474.2142857,1768,535,160.7272727,900.4285714,12606,336.28,419.3571429,104.5454545,6639,1768,64240
443,7293,1454,520.9285714,4795,1454,368.8461538,993.8571429,13914,447.7037037,466.0714286,313.9230769,7293,4795,64240
443,8152,1454,509.5,12520,1454,658.9473684,971,15536,590.6285714,454.75,604.3157895,8152,12520,64240
443,6495,1454,382.0588235,6164,1454,342.4444444,716.1176471,12174,361.6857143,327.3529412,287.1111111,6495,6164,64240
443,6328,1454,452,5762,1454,411.5714286,856,11984,431.7857143,397.1428571,356.7142857,6328,5762,64240
443,11406,1454,570.3,11619,1354,611.5263158,1092.6,21852,590.3846154,515.7,557.3157895,11406,11619,64240
443,3241,1454,294.6363636,6617,1454,551.4166667,541.2727273,5954,428.6086957,239.5454545,496.4166667,3241,6617,64240
443,4585,1454,352.6923077,6844,1454,526.4615385,657.3846154,8546,439.5769231,297.7692308,471.5384615,4585,6844,64240
443,4059,1454,253.6875,6485,1454,270.2083333,459.375,7350,263.6,198.9375,214.7083333,4059,6485,64240
443,2388,1454,398,482,308,120.5,748,4488,287,342,63.5,2388,482,64240
443,2533,1454,281.4444444,5276,1454,439.6666667,514.8888889,4634,371.8571429,226.1111111,381.6666667,2533,5276,64240
443,2299,1454,328.4285714,4286,1454,535.75,608.8571429,4262,439,272.7142857,478.75,2299,4286,64240
443,66,66,66,132,66,66,84,84,66,0,0,66,132,64240
443,8698,1454,543.625,8553,1454,534.5625,1039.25,16628,539.09375,488.875,479.8125,8698,8553,64240
443,2444,1454,407.3333333,1112,672,222.4,766.6666667,4600,323.2727273,351.3333333,166,2444,1112,64240
443,3959,1454,439.8888889,4233,1454,470.3333333,831.7777778,7486,455.1111111,381.8888889,413.6666667,3959,4233,64240
443,2300,1454,328.5714286,4773,1454,530.3333333,609.1428571,4264,442.0625,272.8571429,475,2300,4773,64240
