Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7680,132,66,66,0,0,0,84,168,66,0,0,132,0,64240
443,55,55,55,0,0,0,62,62,55,1,0,55,0,512
7171,56,56,56,54,54,54,64,64,55,2,0,56,54,509
49692,56,56,56,54,54,54,64,64,55,2,0,56,54,260
443,696,294,174,687,316,229,300,1200,197.5714286,120,175,696,687,510
443,49715,1506,178.8309353,1998487,1506,1147.896037,309.6618705,86086,1014.463596,124.8309353,1093.896037,49715,1998487,516
443,61438,1506,261.4382979,1561269,1506,1142.949488,474.8765957,111596,1013.558401,207.4382979,1088.949488,61438,1561269,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,39699,1506,179.6334842,1633927,1506,1153.903249,311.2669683,68790,1022.373855,125.5791855,1099.886299,39699,1633927,64240
443,38815,1506,173.28125,1557039,1506,1169.826446,298.5625,66878,1026.272669,119.2276786,1115.817431,38815,1557039,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,850,175,106.25,951,161,105.6666667,164.5,1316,105.9411765,52.25,51.66666667,850,951,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7680,198,66,66,0,0,0,84,252,66,0,0,198,0,64240
443,55,55,55,0,0,0,62,62,55,1,0,55,0,512
7171,56,56,56,54,54,54,64,64,55,2,0,56,54,509
49692,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,260
443,696,294,174,687,316,229,300,1200,197.5714286,120,175,696,687,510
443,56489,1506,186.4323432,2168713,1506,1146.254228,324.8646865,98434,1013.759453,132.4323432,1092.254228,56489,2168713,516
443,64286,1506,259.2177419,1658553,1506,1146.201106,470.4354839,116668,1016.424189,205.2177419,1092.201106,64286,1658553,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,42040,1506,179.6581197,1722729,1506,1166.370345,311.3162393,72848,1031.425482,125.6068376,1112.354096,42040,1722729,64240
443,45584,1506,183.8064516,1707171,1506,1165.304437,319.6129032,79264,1023.207823,129.7580645,1111.296246,45584,1707171,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,850,175,106.25,951,161,105.6666667,164.5,1316,105.9411765,52.25,51.66666667,850,951,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7680,198,66,66,0,0,0,84,252,66,0,0,198,0,64240
443,55,55,55,0,0,0,62,62,55,1,0,55,0,512
7171,56,56,56,54,54,54,64,64,55,2,0,56,54,509
49692,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,260
